"Occupancy","Capacity","QueueLength","TrafficConditionNearby","IsSpecialDay","VehicleType","Model2Price","time","diff"
"625","690","4","average","0","car","12.67","1752074098718","1"
"327","387","7","average","1","car","14.12","1752074098718","1"
"434","2803","2","low","0","car","11.38","1752074098718","1"
"777","1322","8","high","0","bike","13.61","1752074098718","1"
"1526","2009","4","low","1","car","12.97","1752074098718","1"
"528","687","5","average","0","cycle","12.97","1752074098718","1"
"314","687","5","average","1","car","12.96","1752074098718","1"
"1181","2937","9","high","0","bike","13.88","1752074098718","1"
"117","577","2","low","0","car","11.42","1752074098718","1"
"360","470","5","average","0","car","12.97","1752074098718","1"
"621","1200","3","average","0","car","11.93","1752074098718","1"
"958","2937","3","low","0","car","11.94","1752074098718","1"
"82","387","2","low","1","car","11.68","1752074098718","1"
"153","387","1","low","0","car","11.16","1752074098718","1"
"304","387","2","low","0","truck","12.2","1752074098718","1"
"73","690","2","low","1","car","11.59","1752074098718","1"
"2765","3883","6","average","0","car","13.34","1752074098718","1"
"157","577","2","low","0","bike","11.19","1752074098718","1"
"1396","1920","10","high","0","truck","15.15","1752074098718","1"
"818","1200","5","average","0","car","12.9","1752074098718","1"
"635","1200","2","low","0","car","11.69","1752074098718","1"
"345","387","4","average","0","cycle","12.66","1752074098718","1"
"1236","2009","4","low","0","car","12.6","1752074098718","1"
"2438","3883","2","low","0","bike","11.48","1752074098718","1"
"458","470","7","high","0","car","13.81","1752074098718","1"
"112","577","3","average","0","bike","11.37","1752074098718","1"
"596","690","3","low","0","car","12.39","1752074098718","1"
"350","2803","2","low","0","cycle","11.35","1752074098718","1"
"993","2009","3","low","0","car","12.08","1752074098718","1"
"120","470","7","high","0","car","13.21","1752074098718","1"
"469","470","8","high","0","car","14.25","1752074098718","1"
"384","577","7","high","0","car","13.55","1752074098718","1"
"348","687","5","average","1","cycle","13.01","1752074098718","1"
"502","687","5","average","0","car","12.94","1752074098718","1"
"715","2009","2","low","0","car","11.55","1752074098718","1"
"442","687","4","average","0","car","12.45","1752074098718","1"
"1348","1920","4","average","0","car","12.5","1752074098718","1"
"526","690","4","average","0","bike","12.26","1752074098718","1"
"402","387","4","low","1","car","13.2","1752074098718","1"
"1041","2937","5","average","0","car","12.63","1752074098718","1"
"169","387","2","low","0","car","11.61","1752074098718","1"
"1431","2009","9","high","0","car","14.43","1752074098718","1"
"1278","2803","13","high","1","car","16.13","1752074098718","1"
"1372","2937","5","average","0","car","12.72","1752074098718","1"
"720","1200","4","average","0","car","12.42","1752074098718","1"
"331","577","5","average","0","bike","12.52","1752074098718","1"
"331","485","4","average","0","car","12.49","1752074098718","1"
"2844","3883","4","average","0","cycle","12.53","1752074098718","1"
"1425","1920","7","high","0","car","13.62","1752074098718","1"
"108","690","3","average","0","car","11.63","1752074098718","1"
"698","1322","6","average","0","car","13.19","1752074098718","1"
"353","2803","5","average","0","car","12.44","1752074098718","1"
"1207","2937","4","low","0","car","12.43","1752074098718","1"
"790","3103","11","high","1","car","15.13","1752074098718","1"
"679","687","2","low","0","car","12.07","1752074098718","1"
"1246","2009","5","average","0","car","12.85","1752074098718","1"
"611","687","8","high","0","car","14.16","1752074098718","1"
"252","577","4","average","0","car","12.28","1752074098718","1"
"372","470","2","low","0","car","11.91","1752074098718","1"
"927","2803","8","high","0","car","13.69","1752074098718","1"
"468","470","7","high","0","truck","14.12","1752074098718","1"
"397","470","3","low","0","car","12.37","1752074098718","1"
"219","387","5","average","0","car","12.8","1752074098718","1"
"1198","2937","5","average","0","car","12.67","1752074098718","1"
"990","2009","12","high","1","car","15.74","1752074098718","1"
"682","690","8","high","0","bike","13.95","1752074098718","1"
"1239","3103","8","high","0","bike","13.46","1752074098718","1"
"647","687","8","high","0","car","14.2","1752074098718","1"
"676","690","8","high","0","car","14.23","1752074098718","1"
"820","1322","9","high","0","car","14.35","1752074098718","1"
"721","1322","8","high","0","car","13.87","1752074098718","1"
"1509","3883","3","low","0","bike","11.7","1752074098718","1"
"115","577","2","low","0","truck","11.71","1752074098718","1"
"257","387","6","average","1","car","13.55","1752074098718","1"
"385","470","3","average","0","car","12.18","1752074098718","1"
"2533","3883","3","low","0","car","12.21","1752074098718","1"
"304","687","3","average","0","cycle","11.87","1752074098718","1"
"402","387","5","average","0","bike","12.91","1752074098718","1"
"168","690","6","average","1","cycle","13.2","1752074098718","1"
"1054","2937","4","average","0","car","12.22","1752074098718","1"
"1346","2937","4","average","0","car","12.3","1752074098718","1"
"541","690","2","low","0","truck","12.2","1752074098718","1"
"307","687","2","low","0","car","11.62","1752074098718","1"
"326","485","2","low","0","car","11.81","1752074098718","1"
"1180","1920","2","low","0","car","11.76","1752074098718","1"
"305","485","7","high","0","bike","13.23","1752074098718","1"
"1364","2009","8","high","0","car","13.98","1752074098718","1"
"159","690","7","high","0","car","13.19","1752074098718","1"
"1149","1920","2","low","0","truck","12.04","1752074098718","1"
"1234","1920","7","average","0","cycle","13.7","1752074098718","1"
"548","1200","2","low","0","car","11.63","1752074098718","1"
"1860","3883","3","low","0","cycle","12.07","1752074098718","1"
"95","577","2","low","0","car","11.39","1752074098718","1"
"430","1322","5","low","1","car","13.02","1752074098718","1"
"552","1200","2","low","0","car","11.63","1752074098718","1"
"221","690","1","low","0","truck","11.39","1752074098718","1"
"177","690","2","low","0","car","11.46","1752074098718","1"
"1481","2009","6","average","0","bike","13.07","1752074098718","1"
"1092","1920","4","low","0","bike","12.27","1752074098718","1"
"2881","3883","5","average","0","car","12.95","1752074098718","1"
"655","2803","8","high","0","bike","13.32","1752074098718","1"
"386","470","3","low","0","car","12.35","1752074098718","1"
"1124","2937","8","high","0","bike","13.44","1752074098718","1"
"2989","3883","4","average","0","bike","12.27","1752074098718","1"
"1025","2937","2","low","0","car","11.54","1752074098718","1"
"235","687","6","average","1","car","13.29","1752074098718","1"
"1149","2009","5","average","0","cycle","12.81","1752074098718","1"
"615","2803","12","high","1","bike","15.22","1752074098718","1"
"621","2803","8","high","0","car","13.6","1752074098718","1"
"769","3103","3","low","0","car","11.87","1752074098718","1"
"1820","3103","4","low","0","car","12.57","1752074098718","1"
"1364","2937","10","high","0","cycle","14.64","1752074098718","1"
"354","470","3","average","0","truck","12.42","1752074098718","1"
"300","485","3","low","1","bike","12.14","1752074098718","1"
"1481","1920","8","high","0","bike","13.77","1752074098718","1"
"679","3103","3","average","0","bike","11.39","1752074098718","1"
"592","690","4","average","0","car","12.63","1752074098718","1"
"175","485","2","low","1","car","11.8","1752074098718","1"
"363","470","2","low","0","cycle","11.89","1752074098718","1"
"1113","2009","2","low","0","car","11.71","1752074098718","1"
"1089","1920","3","low","0","car","12.14","1752074098718","1"
"2438","3883","2","low","0","car","11.77","1752074098718","1"
"490","687","3","low","0","car","12.26","1752074098718","1"
"113","577","2","low","0","bike","11.12","1752074098718","1"
"526","2803","6","high","0","bike","12.45","1752074098718","1"
"411","470","3","low","0","car","12.4","1752074098718","1"
"316","2803","2","average","0","car","11.18","1752074098718","1"
"100","577","6","average","1","truck","13.44","1752074098718","1"
"389","485","8","high","0","bike","13.79","1752074098718","1"
"404","470","8","high","0","car","14.13","1752074098718","1"
"544","687","3","low","0","car","12.33","1752074098718","1"
"1566","3103","7","average","0","bike","13.3","1752074098718","1"
"605","690","4","low","0","car","12.81","1752074098718","1"
"357","387","3","low","0","car","12.44","1752074098718","1"
"324","577","8","high","0","car","13.88","1752074098718","1"
"636","687","8","high","0","car","14.19","1752074098718","1"
"412","470","5","average","0","truck","13.36","1752074098718","1"
"1343","1920","4","average","0","truck","12.79","1752074098718","1"
"1395","1920","6","average","0","car","13.36","1752074098718","1"
"550","2803","4","low","1","bike","12.21","1752074098718","1"
"649","1322","4","average","0","car","12.33","1752074098718","1"
"1991","3883","2","low","0","car","11.68","1752074098718","1"
"1298","2009","3","low","0","car","12.21","1752074098718","1"
"144","577","3","average","0","car","11.71","1752074098718","1"
"842","1322","5","average","0","cycle","12.86","1752074098718","1"
"1215","2937","3","low","0","bike","11.72","1752074098718","1"
"263","470","3","average","0","car","11.97","1752074098718","1"
"1438","2009","7","average","0","car","13.76","1752074098718","1"
"702","1200","2","low","0","car","11.74","1752074098718","1"
"986","1920","4","average","0","car","12.34","1752074098718","1"
"447","470","8","high","0","car","14.21","1752074098718","1"
"291","485","2","low","0","car","11.75","1752074098718","1"
"1572","2009","9","high","0","car","14.49","1752074098718","1"
"648","1200","4","low","0","bike","12.24","1752074098718","1"
"467","470","8","high","0","car","14.24","1752074098718","1"
"57","577","2","low","0","car","11.33","1752074098718","1"
"1145","2009","3","low","0","car","12.14","1752074098718","1"
"121","577","2","low","0","car","11.42","1752074098718","1"
"747","3883","4","average","1","car","12.33","1752074098718","1"
"244","387","2","low","0","car","11.78","1752074098718","1"
"1258","1920","3","low","0","car","12.21","1752074098718","1"
"616","1200","2","low","0","bike","11.39","1752074098718","1"
"457","1200","2","low","0","truck","11.86","1752074098718","1"
"873","2009","3","low","0","bike","11.74","1752074098718","1"
"578","3103","3","low","1","car","12.07","1752074098718","1"
"366","687","4","average","0","car","12.36","1752074098718","1"
"477","1322","2","low","0","car","11.55","1752074098718","1"
"545","690","2","low","0","bike","11.62","1752074098718","1"
"1246","1920","3","low","0","car","12.21","1752074098718","1"
"517","687","5","average","0","car","12.96","1752074098718","1"
"590","2009","3","low","1","car","12.16","1752074098718","1"
"1280","3103","4","low","0","car","12.43","1752074098718","1"
"205","485","3","low","0","bike","11.73","1752074098718","1"
"212","485","8","high","0","car","13.78","1752074098718","1"
"172","485","2","low","0","bike","11.25","1752074098718","1"
"986","1920","2","low","0","car","11.68","1752074098718","1"
"836","1322","8","high","0","car","13.94","1752074098718","1"
"902","3103","2","low","0","car","11.49","1752074098718","1"
"568","1200","3","low","0","car","12.06","1752074098718","1"
"176","470","7","high","0","car","13.31","1752074098718","1"
"968","3883","4","low","1","truck","12.83","1752074098718","1"
"105","1200","3","low","1","car","11.99","1752074098718","1"
"667","3103","11","high","1","car","15.1","1752074098718","1"
"489","690","1","low","0","car","11.42","1752074098718","1"
"1250","3103","5","average","0","truck","12.96","1752074098718","1"
"277","485","2","low","0","bike","11.43","1752074098718","1"
"1114","1920","2","low","0","car","11.73","1752074098718","1"
"177","577","3","low","0","car","11.92","1752074098718","1"
"209","687","2","average","0","car","11.34","1752074098718","1"
"132","470","1","low","0","truck","11.36","1752074098718","1"
"509","687","3","low","1","truck","12.83","1752074098718","1"
"362","387","4","low","0","car","12.86","1752074098718","1"
"540","2803","6","average","0","car","12.91","1752074098718","1"
"2479","3883","4","low","0","truck","12.91","1752074098718","1"
"331","387","3","average","0","car","12.21","1752074098718","1"
"222","485","3","average","0","car","11.88","1752074098718","1"
"2237","3883","4","average","0","car","12.4","1752074098718","1"
"797","3103","4","low","1","car","12.55","1752074098718","1"
"1266","2009","9","high","0","car","14.36","1752074098718","1"
"919","2937","7","average","1","car","13.68","1752074098718","1"
"318","485","6","high","0","car","13.13","1752074098718","1"
"637","690","8","high","0","car","14.19","1752074098718","1"
"1179","2009","9","high","0","car","14.32","1752074098718","1"
"359","485","7","high","0","cycle","13.62","1752074098718","1"
"395","387","5","high","0","car","13.02","1752074098718","1"
"161","2803","3","average","0","bike","11.26","1752074098718","1"
"473","2803","12","high","1","car","15.47","1752074098718","1"
"940","2803","3","low","0","car","11.95","1752074098718","1"
"727","1920","2","low","0","truck","11.86","1752074098718","1"
"108","1200","1","low","0","car","10.91","1752074098718","1"
"565","2803","8","high","0","car","13.58","1752074098718","1"
"78","470","3","low","1","car","12.05","1752074098718","1"
"1380","2009","9","high","0","car","14.41","1752074098718","1"
"301","387","5","average","0","bike","12.69","1752074098718","1"
"330","485","7","high","0","car","13.57","1752074098718","1"
"263","577","3","low","0","car","12.05","1752074098718","1"
"1399","1920","10","high","0","car","14.86","1752074098718","1"
"835","2937","8","high","0","bike","13.36","1752074098718","1"
"132","690","3","average","0","car","11.66","1752074098718","1"
"221","387","2","low","0","car","11.73","1752074098718","1"
"768","2009","2","low","0","car","11.57","1752074098718","1"
"211","485","2","low","0","car","11.61","1752074098718","1"
"766","1322","6","average","0","bike","12.94","1752074098718","1"
"370","470","8","high","0","car","14.07","1752074098718","1"
"969","1322","3","low","0","cycle","12.28","1752074098718","1"
"1507","3103","5","average","1","car","12.99","1752074098718","1"
"710","3103","4","average","0","bike","11.82","1752074098718","1"
"1846","3883","2","low","0","bike","11.35","1752074098718","1"
"98","470","6","average","1","car","13.17","1752074098718","1"
"638","687","5","average","0","car","13.11","1752074098718","1"
"2943","3883","4","average","0","bike","12.26","1752074098718","1"
"682","2803","4","average","0","bike","11.83","1752074098718","1"
"268","485","2","average","0","bike","11.25","1752074098718","1"
"200","690","3","low","1","cycle","12.16","1752074098718","1"
"716","1322","2","low","0","car","11.7","1752074098718","1"
"1107","2937","5","average","0","car","12.65","1752074098718","1"
"164","577","3","low","0","bike","11.61","1752074098718","1"
"604","690","8","high","0","car","14.15","1752074098718","1"
"349","470","3","low","0","truck","12.58","1752074098718","1"
"275","1920","2","low","1","car","11.62","1752074098718","1"
"413","470","8","high","0","car","14.15","1752074098718","1"
"657","1200","3","low","0","car","12.12","1752074098718","1"
"1166","3103","6","average","0","car","13.06","1752074098718","1"
"1459","1920","6","average","0","truck","13.67","1752074098718","1"
"156","577","3","average","0","car","11.73","1752074098718","1"
"120","387","2","low","0","car","11.51","1752074098718","1"
"602","2009","2","low","0","car","11.5","1752074098718","1"
"681","690","9","high","0","car","14.66","1752074098718","1"
"46","470","2","low","1","car","11.58","1752074098718","1"
"463","470","8","high","0","car","14.24","1752074098718","1"
"765","1920","2","low","0","car","11.58","1752074098718","1"
"551","690","5","average","0","cycle","13.0","1752074098718","1"
"278","485","4","average","0","car","12.39","1752074098718","1"
"788","2937","9","high","0","car","14.06","1752074098718","1"
"1539","3103","3","low","1","car","12.33","1752074098718","1"
"372","2803","2","low","0","car","11.36","1752074098718","1"
"1525","1920","9","high","0","bike","14.2","1752074098718","1"
"664","687","9","high","0","car","14.64","1752074098718","1"
"1304","2009","5","average","0","cycle","12.87","1752074098718","1"
"824","1322","4","average","0","bike","12.14","1752074098718","1"
"2650","3883","3","low","0","bike","11.94","1752074098718","1"
"68","577","2","average","0","cycle","11.18","1752074098718","1"
"874","3103","3","low","0","car","11.9","1752074098718","1"
"3348","3883","11","high","0","bike","15.09","1752074098718","1"
"806","3103","3","low","1","truck","12.42","1752074098718","1"
"1255","2009","3","average","0","bike","11.73","1752074098718","1"
"562","2803","7","high","0","car","13.17","1752074098718","1"
"91","577","2","low","0","car","11.38","1752074098718","1"
"162","387","5","average","1","bike","12.64","1752074098718","1"
"461","470","8","high","0","car","14.23","1752074098718","1"
"341","687","2","low","0","car","11.66","1752074098718","1"
"3117","3883","11","high","0","car","15.34","1752074098718","1"
"216","577","7","high","0","car","13.31","1752074098718","1"
"850","1200","8","high","0","car","14.01","1752074098718","1"
"477","687","8","high","0","car","14.0","1752074098718","1"
"181","470","4","average","0","car","12.24","1752074098718","1"
"3223","3883","7","average","0","cycle","13.86","1752074098718","1"
"1210","3103","5","average","0","car","12.66","1752074098718","1"
"368","470","8","high","0","car","14.07","1752074098718","1"
"478","1322","2","low","0","truck","11.84","1752074098718","1"
"501","690","2","low","0","car","11.86","1752074098718","1"
"566","690","3","low","0","bike","12.06","1752074098718","1"
"583","3103","3","low","0","truck","12.11","1752074098718","1"
"406","1200","2","low","0","car","11.53","1752074098718","1"
"537","2803","2","average","0","car","11.24","1752074098718","1"
"870","2937","6","average","1","car","13.25","1752074098718","1"
"116","2803","2","low","0","car","11.28","1752074098718","1"
"292","687","4","average","1","truck","12.81","1752074098718","1"
"839","1200","5","average","0","car","12.92","1752074098718","1"
"523","690","3","low","0","car","12.3","1752074098718","1"
"655","3103","8","average","1","car","14.01","1752074098718","1"
"206","485","5","average","0","car","12.69","1752074098718","1"
"224","485","2","low","0","car","11.63","1752074098718","1"
"879","1322","8","high","0","cycle","13.97","1752074098718","1"
"1182","2937","2","low","0","car","11.59","1752074098718","1"
"67","387","2","low","1","car","11.64","1752074098718","1"
"2934","3883","3","low","0","car","12.3","1752074098718","1"
"1271","2009","10","high","0","bike","14.49","1752074098718","1"
"447","1322","5","low","1","cycle","13.03","1752074098718","1"
"1563","1920","12","high","1","car","16.01","1752074098718","1"
"647","687","6","average","0","bike","13.24","1752074098718","1"
"596","690","5","average","0","car","13.05","1752074098718","1"
"241","1200","5","average","1","car","12.75","1752074098718","1"
"470","1200","4","average","0","car","12.24","1752074098718","1"
"522","1200","8","high","0","car","13.78","1752074098718","1"
"1249","2009","8","high","0","car","13.93","1752074098718","1"
"632","690","6","average","0","bike","13.22","1752074098718","1"
"345","387","7","high","0","car","13.74","1752074098718","1"
"259","687","3","low","1","cycle","12.23","1752074098718","1"
"3099","3883","7","average","0","car","13.83","1752074098718","1"
"754","1200","8","high","0","bike","13.65","1752074098718","1"
"293","387","7","high","0","bike","13.34","1752074098718","1"
"1571","2009","5","average","0","truck","13.28","1752074098718","1"
"340","687","2","low","1","car","11.91","1752074098718","1"
"846","1322","3","low","0","cycle","12.2","1752074098718","1"
"780","1322","6","average","0","bike","12.95","1752074098718","1"
"276","1200","4","average","1","cycle","12.36","1752074098718","1"
"502","2803","8","high","0","cycle","13.57","1752074098718","1"
"464","470","5","average","0","car","13.16","1752074098718","1"
"267","1200","2","low","0","car","11.44","1752074098718","1"
"341","577","8","high","0","car","13.91","1752074098718","1"
"512","687","3","low","1","car","12.54","1752074098718","1"
"571","687","8","high","0","car","14.11","1752074098718","1"
"729","1322","9","high","0","car","14.29","1752074098718","1"
"549","690","2","low","0","cycle","11.91","1752074098718","1"
"1337","2009","9","high","0","cycle","14.39","1752074098718","1"
